id,title,company_name,city,city_geocode,department,skill
0110213,Analytics Engineer - Supply & Material Planning (f/m/d) (H/F),,Villeneuve-D'Ascq,"Villeneuve-D'Ascq, 59, France",59,airflow
0194883,Développeur Big Data (H/F),,Bruz,"Bruz, 35, France",35,airflow
0330800,INGÉNIEUR DATA CONFIRMÉ - H/F,ATOL CONSEILS ET DEVELOPPEMENTS,Dijon,"Dijon, 21, France",21,airflow
0330807,INGÉNIEUR DATA CONFIRMÉ - H/F,ATOL CONSEILS ET DEVELOPPEMENTS,Gevrey-Chambertin,"Gevrey-Chambertin, 21, France",21,airflow
0422881,Senior Data engineer (H/F),,Marseille,"Marseille, 13, France",13,airflow
0430036,Data Engineer/DataOps - Maintenance prédictive - Python/Spark (H/F),,Toulouse,"Toulouse, 31, France",31,airflow
0498814,Data Science & IA Engineer (H/F/NB),,Puteaux,"Puteaux, 92, France",92,airflow
0498820,Data Engineer - Expert Snowflake & DBT (H/F/NB),,Puteaux,"Puteaux, 92, France",92,airflow
0502584,Ingénieur(e) Data et Architecte Infrastructure (H/F),,Argenteuil,"Argenteuil, 95, France",95,airflow
0629284,Ingénieur(e) DevOps - Défense & Sécurité - Bordeaux (H/F),,Bordeaux,"Bordeaux, 33, France",33,airflow
0697102,Ingénieur(e) DevOps - Défense & Sécurité - Bordeaux (H/F),,Bordeaux,"Bordeaux, 33, France",33,airflow
0723152,Data Engineer GCP (H/F) h/f,,,,No,airflow
0725689,Calibration Workflow Engineer (H/F),,Paris,"Paris, 75, France",75,airflow
0967004,Senior Data Scientist - Downstream Demand Forecast - Value Chain (f/m/d) (H/F),,Paris,"Paris, 75, France",75,airflow
0967005,Senior Data Scientist - Downstream Demand Forecast - Value Chain (f/m/d) (H/F),,Villeneuve-D'Ascq,"Villeneuve-D'Ascq, 59, France",59,airflow
0987261,Lead Data Engineer GCP (F/H) - MASSY (H/F),,Massy,"Massy, 91, France",91,airflow
205HQGZ,Ingénieur Centre de Production Systèmes d'Informations (H/F),IFREMER,Plouzane,"Plouzane, 29, France",29,airflow
205LZLG,Développeur Big Data (H/F),CMRD CONSEIL,Paris,"Paris, 75, France",75,airflow
205SMDW,Data Engineer Senior (H/F),INFORMATIS TECHNOLOGY SYSTM,Paris,"Paris, 75, France",75,airflow
205ZYDN,Ingénieur Data F/H (H/F),NESTLE EXCELLENCE SUPPORTS FRANCE OU NES,Issy Les Moulineaux,"Issy Les Moulineaux, 92, France",92,airflow
206CVRQ,Data engineer - Lyon (69) (H/F),EPSYL,Lyon 01,"Lyon 01, 69, France",69,airflow
7770601,Consultant Senior MLOPS Engineer h/f,,Paris,"Paris, 75, France",75,airflow
9296152,Data Engineer spécialisé Machine Learning (F/H),GIO Recrutement Biarritz,Rouen,"Rouen, 76, France",76,airflow
9972380,Data & IA Engineer en alternance H/F,,Nantes,"Nantes, 44, France",44,airflow
0018967,Développeur Big Data (H/F),,Châtillon,"Châtillon, 92, France",92,aws
0089754,Lead Developpeur SIG (ESRI ou OpenSource) F/H,,Paris,"Paris, 75, France",75,aws
0110213,Analytics Engineer - Supply & Material Planning (f/m/d) (H/F),,Villeneuve-D'Ascq,"Villeneuve-D'Ascq, 59, France",59,aws
0129319,Alternance Data Scientist/ IA Engineer - Paris (H/F),,Paris,"Paris, 75, France",75,aws
0151759,Tech Lead F/H - Kereis,,Rennes,"Rennes, 35, France",35,aws
0158476,Ingénieur développement IBM Sterling H/F,Econocom,Saint-Herblain,"Saint-Herblain, 44, France",44,aws
0184686,Senior Lead developer (H/F/X),E.T.A.I.,Gentilly,"Gentilly, 94, France",94,aws
0196938,Data manager (H/F),,Lille,"Lille, 59, France",59,aws
0227024,QA Automation et Data Quality Engineer (H/F),,Paris,"Paris, 75, France",75,aws
0300556,Data manager (H/F),,Paris,"Paris, 75, France",75,aws
0333250,Administrateur Plateforme Splunk - Nantes H/F,Sopra Steria,Saint-Herblain,"Saint-Herblain, 44, France",44,aws
0394647,Expert en Stratégie DATA - Directeur - Entité de spécialité DATA (H/F),,Nanterre,"Nanterre, 92, France",92,aws
0398775,DATA Ingénieur(e) SAS - 202604 H/F,,Paris,"Paris, 75, France",75,aws
0404128,Google Admin (f/m/d) (H/F),,Paris,"Paris, 75, France",75,aws
0406581,Ingénieur Automatisme et Contrôle Industriel F/H,,Montpellier,"Montpellier, 34, France",34,aws
0407258,Data Engineer DataIku - Services Financiers – Lille  (H/F),,Lezennes,"Lezennes, 59, France",59,aws
0407632,Tech Lead Full Stack - Services Publics - Strasbourg (H/F),,Strasbourg,"Strasbourg, 67, France",67,aws
0408583,Data Engineer DataIku - Services Financiers – Ile-de-France (H/F),,Paris 1Er Arrondissement,"Paris 1Er Arrondissement, 75, France",75,aws
0422881,Senior Data engineer (H/F),,Marseille,"Marseille, 13, France",13,aws
0431214,Architecte / Lead Tech Java & JavaScript (React | Vue | Angular) (H/F),,Villeurbanne,"Villeurbanne, 69, France",69,aws
0431236,Développeur / Développeuse Fullstack Java& JavaScript (React | Vue | Angular) (H/F),,Villeurbanne,"Villeurbanne, 69, France",69,aws
0431253,Développeur / Développeuse Fullstack .Net & JavaScript (React | Vue | Angular) (H/F),,Villeurbanne,"Villeurbanne, 69, France",69,aws
0431835,Technical leader Data scientist F/H (H/F),Safran,Magny-Les-Hameaux,"Magny-Les-Hameaux, 78, France",78,aws
0439426,Data Architecte H/F,,Relecq-Kerhuon,"Relecq-Kerhuon, 29, France",29,aws
0460293,Tech Lead Data et IA Générative H/F,JEMS,Nantes,"Nantes, 44, France",44,aws
