id,title,company_name,contract_type,city,city_geocode,latitude,longitude,postal_code,department,date_creation,year,month,week,is_remote,salary_min,salary_max,salary_median,skills_count
206HXZS,Alternance - Data Analyst Appui Innovation F/H,ENEDIS,CDD,Paris,"Paris, 75, France",48.884682,2.322169,75017,75,2026-04-01 14:21:58.024000+02:00,2026,4,14,True,9720.0,21612.0,15666.0,4
206HXCW,Analyste programeur (euse) (H/F),FILIX,CDI,Ste Savine,"Ste Savine, 10, France",48.293133,4.056527,10300,10,2026-04-01 14:02:04.839000+02:00,2026,4,14,True,24456.0,30000.0,27228.0,0
206HWMM,Développeur C# (H/F),FAIRSON INVENTAIRE,CDI,Challans,"Challans, 85, France",46.844739,-1.87919,85300,85,2026-04-01 13:50:24.002000+02:00,2026,4,14,False,,,,1
1005400,Développeur Bi / SQL (F/H) h/f,,CDI,Balma,"Balma, 31, France",43.628269,1.532864,31130,31,2026-04-01 12:59:07+02:00,2026,4,14,False,,,,5
1003107,Chef de Projet Applicatif Confirmé (H/F),,CDI,Linas,"Linas, 91, France",48.631269,2.266723,91310,91,2026-04-01 12:45:43+02:00,2026,4,14,True,,,,2
1002639,Développeur(se) Angular / Java F/H h/f,,CDI,Grenoble,"Grenoble, 38, France",45.18637,5.711296,38000,38,2026-04-01 12:40:48+02:00,2026,4,14,True,,,,3
1002623,Développeur Java (F/H) h/f,,CDI,Balma,"Balma, 31, France",43.628269,1.532864,31130,31,2026-04-01 12:40:21+02:00,2026,4,14,False,,,,2
1002567,Développeur Mobile Expérimenté- F/H h/f,,CDI,Saint-Herblain,"Saint-Herblain, 44, France",47.244068,-1.605885,44800,44,2026-04-01 12:39:39+02:00,2026,4,14,True,,,,2
1002480,Lead Data driven Manufacturing F/H h/f,,CDI,Paris,"Paris, 75, France",,,,75,2026-04-01 12:39:02+02:00,2026,4,14,False,,,,5
1001297,Ingénieur / Ingénieure qualité en industrie (15870) (H/F),,CDD,Corbeil-Essonnes,"Corbeil-Essonnes, 91, France",48.585345,2.470708,91100,91,2026-04-01 12:03:14+02:00,2026,4,14,False,,,,3
206HMBT,Tech Lead TIBCO (H/F),,CDI,Courbevoie,"Courbevoie, 92, France",48.898112,2.238533,92400,92,2026-04-01 11:17:54.145000+02:00,2026,4,14,False,60000.0,84000.0,72000.0,0
206HLRV,Développeur fullstack (H/F),FRANCE DETECTION SERVICES,CDI,Le Thor,"Le Thor, 84, France",43.928359,4.993271,84250,84,2026-04-01 11:08:46.925000+02:00,2026,4,14,False,26400.0,26400.0,26400.0,4
0993948,Data Analyst - Inventory Management - Value Chain (f/m/d) (H/F),,CDI,Paris,"Paris, 75, France",,,,75,2026-04-01 09:02:37+02:00,2026,4,14,True,,,,12
0993936,Data Analyst - Inventory Management - Value Chain (f/m/d) (H/F),,CDI,Villeneuve-D'Ascq,"Villeneuve-D'Ascq, 59, France",50.619793,3.160295,59491,59,2026-04-01 09:02:37+02:00,2026,4,14,True,,,,12
0991245,Développeur/se PHP Java Script - Edition de logiciels -  Lyon (H/F),,CDI,Limonest,"Limonest, 69, France",45.835717,4.770972,69760,69,2026-04-01 08:45:21+02:00,2026,4,14,False,,,,4
0991158,Ingénieur·e en vision informatique C++ Qt (H/F),,CDI,Senlis,"Senlis, 60, France",49.205086,2.583378,60300,60,2026-04-01 08:44:51+02:00,2026,4,14,False,,,,1
0990184,Développeur Quantitatif  H/F,,CDI,Paris,"Paris, 75, France",,,,75,2026-04-01 08:38:40+02:00,2026,4,14,False,,,,2
