department,nb_offres,median_salary,pct_remote
75,134,50000.0,34.3
69,97,41250.0,45.4
92,88,50400.0,23.9
44,54,48750.0,59.3
13,51,51250.0,35.3
31,50,38940.0,42.0
59,45,32188.0,46.7
91,37,45000.0,29.7
37,36,32500.0,69.4
33,35,39750.0,34.3
No,30,56250.0,26.7
67,29,40000.0,44.8
78,29,45000.0,31.0
35,26,43000.0,34.6
93,25,45000.0,28.0
34,21,45000.0,57.1
76,21,50000.0,52.4
38,20,36500.0,35.0
79,19,43000.0,52.6
29,16,47500.0,31.3
94,16,45000.0,43.8
64,14,,7.1
06,13,25836.0,23.1
85,13,57500.0,30.8
95,13,45000.0,53.8
45,12,44000.0,75.0
49,9,50000.0,44.4
21,8,41500.0,62.5
63,8,32550.0,12.5
57,7,43750.0,0.0
77,7,45000.0,42.9
83,7,,0.0
25,5,42500.0,20.0
30,5,25650.0,0.0
51,5,,60.0
74,5,48000.0,20.0
11,4,,0.0
18,4,,0.0
28,4,23844.0,50.0
60,4,47500.0,25.0
68,4,45000.0,0.0
71,4,29100.0,25.0
84,4,33200.0,50.0
86,4,60000.0,0.0
972,4,57500.0,0.0
03,3,31000.0,66.7
10,3,27228.0,66.7
39,3,,0.0
41,3,,0.0
42,3,,0.0
47,3,36600.0,33.3
50,3,,0.0
65,3,,0.0
80,3,29400.0,0.0
01,2,40000.0,50.0
02,2,37000.0,50.0
07,2,24990.0,50.0
24,2,,0.0
43,2,,0.0
53,2,27624.0,50.0
56,2,44250.0,0.0
58,2,,0.0
72,2,,0.0
73,2,45000.0,50.0
82,2,39500.0,0.0
974,2,26000.0,0.0
04,1,,0.0
12,1,,0.0
14,1,,0.0
16,1,,0.0
17,1,29484.0,100.0
22,1,,0.0
23,1,,100.0
26,1,,0.0
27,1,,0.0
40,1,,0.0
52,1,,0.0
61,1,15840.0,100.0
62,1,,0.0
66,1,,0.0
81,1,27600.0,0.0
88,1,,0.0
90,1,,100.0
976,1,19560.0,0.0
